C00001	Duis	Vivamus semper arcu et urna eleifend dapibus. Fusce porta pretium sodales. Phasellus eget luctus velit. Phasellus in aliquet ex. Pellentesque consequat consectetur odio, ut ultricies diam tempus vel. Maecenas facilisis porta nisl, non congue urna porta vitae. In vehicula tincidunt massa nec tempus. Duis sagittis pulvinar nisl et feugiat. Aliquam erat volutpat. Quisque ut odio massa.	1/9/2010
C00002	bibendum	Vestibulum non dictum nunc. Aenean nisl lorem, fermentum ut finibus sit amet, placerat et neque. Vestibulum a magna id dolor lacinia dapibus fermentum sit amet arcu. Maecenas id interdum felis. Integer fringilla ut lorem vitae aliquam. Ut vitae condimentum felis, id tempus augue. Phasellus ut ligula quis turpis pellentesque suscipit. Morbi lacinia sapien venenatis lectus vehicula sollicitudin. Donec consectetur enim elit, quis laoreet eros congue sit amet. Phasellus quis elit ut sem ornare vulputate. Etiam vulputate massa risus. Praesent dapibus mauris diam, id sodales metus posuere in. Suspendisse eleifend, nisl eget imperdiet iaculis, dui ligula lacinia massa, quis accumsan velit nunc at neque. Etiam dictum dolor justo, ut congue felis pharetra nec. Morbi tristique suscipit diam at interdum. Donec feugiat finibus leo.	12/10/2011
C00003	varius	Quisque feugiat ut ligula id molestie. Curabitur elementum magna vitae dolor molestie, sit amet lacinia velit aliquet. Vivamus non orci a odio auctor commodo. Integer interdum felis a velit fermentum porttitor. Mauris lobortis, sem pharetra commodo commodo, dui odio posuere nunc, vel dapibus orci libero a diam. Sed eu augue auctor velit hendrerit bibendum sed et ex. Pellentesque sodales metus vitae sem ullamcorper, nec dignissim urna cursus.	2/11/2016
C00004	feugiat	Maecenas non mollis sapien, nec aliquam sapien. Donec urna orci, tincidunt rutrum elit quis, consequat cursus nisl. Vivamus pretium tempus lectus maximus ornare. Nam id blandit dolor, eget malesuada ligula. Vivamus sed nunc lacus. In eget dolor eget risus semper bibendum. Praesent ut sapien tincidunt, pulvinar orci nec, ultrices nisi. Quisque commodo varius faucibus. Nunc id justo tortor. Morbi ac egestas lorem. Sed elit velit, vestibulum laoreet metus quis, ullamcorper blandit lacus.	3/12/2015
C00005	Ut lectus	Sed sem eros, laoreet in turpis fermentum, tristique bibendum arcu. Maecenas eget leo volutpat, venenatis odio sit amet, sagittis erat. Aliquam auctor diam non ipsum fringilla aliquam. Vestibulum mollis, augue non porttitor ullamcorper, elit nisi dapibus neque, sed interdum erat lacus in ligula. Quisque consectetur tellus a gravida vestibulum. Donec eu finibus lectus. Vivamus leo est, interdum convallis venenatis sit amet, egestas ac nisi. Suspendisse mollis mauris vel nibh sodales posuere. Duis rutrum tortor quis lacus sagittis, at aliquam ipsum auctor. Integer sed felis orci. Quisque dignissim turpis eget elit consequat auctor. Fusce tempor egestas massa, vitae lobortis risus ultricies vitae. Sed mattis neque metus, vel rhoncus enim pulvinar eu. Morbi feugiat risus id sapien sollicitudin dignissim. Suspendisse vehicula odio at neque interdum fermentum. Nullam tempor dui sit amet neque fringilla tincidunt.	6/13/2011
C00006	felis	Sed convallis bibendum tortor quis ultrices. Donec in dolor placerat, sodales magna quis, pharetra nunc. Vestibulum dictum erat nec justo malesuada, ut dapibus arcu laoreet. Pellentesque tempor sodales augue eu vestibulum. Mauris eu fringilla nisi. Quisque viverra ut erat eget pellentesque. Curabitur eu venenatis enim. In urna ligula, imperdiet vitae erat sit amet, dignissim commodo mauris. Nunc condimentum egestas tortor ut porttitor. Etiam malesuada interdum sem.	4/14/2014
C00007	egestas	Donec ac purus venenatis, venenatis nibh in, congue augue. Integer feugiat suscipit magna quis lacinia. Fusce sit amet velit non augue hendrerit egestas. Donec id venenatis massa. Maecenas lobortis et arcu ac auctor. Praesent placerat eros tortor, id auctor justo elementum nec. Pellentesque posuere odio id turpis vehicula mollis. Nunc ut elementum lacus. Praesent at lacinia erat, quis porttitor ante. Mauris bibendum augue eget nunc facilisis, vitae vehicula diam tempor. Nulla tempor quam eget ante lacinia, ac ullamcorper justo aliquet.	1/15/2018
C00008	vel ex	Phasellus tincidunt pretium nunc in suscipit. Aliquam pharetra fermentum metus. Quisque sit amet rutrum lacus, ac elementum velit. Donec tempor libero nec elit molestie, sit amet ornare tellus aliquet. Nullam lacus sapien, rutrum tempor fringilla at, venenatis ac tortor. Fusce porttitor consectetur risus, et sagittis massa ultrices et. Fusce molestie dictum sollicitudin. Proin blandit eu magna eget porta. Vestibulum dictum arcu at eleifend vehicula. Ut efficitur erat nec neque scelerisque, a lobortis augue malesuada. Cras cursus tempus ligula. Duis at suscipit turpis. Vivamus turpis neque, elementum sit amet dolor a, interdum lacinia dui. Proin vitae convallis lectus.	1/16/2014
C00009	sed	Curabitur commodo placerat ultrices. Vivamus leo nisl, dictum ac imperdiet vitae, feugiat non dui. Ut convallis sapien nec nisi mollis, a sagittis metus porta. Nunc sed erat eros. Sed non dolor augue. Etiam vitae velit et massa commodo pretium sit amet maximus felis. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Fusce ut tortor pharetra, mollis dolor a, tincidunt augue. Aenean pharetra tempor augue, eget convallis dolor cursus eu. Etiam rhoncus nisi ac ipsum mattis, in porttitor tellus consectetur.	8/17/2010
C00010	cursus	Maecenas vulputate, lectus quis maximus porta, odio elit suscipit justo, varius blandit dui dui placerat lectus. Praesent laoreet mi ut enim interdum mollis. Duis sed sollicitudin dolor. Phasellus ac imperdiet ante. Sed convallis quis arcu id viverra. Vestibulum vitae velit volutpat, ornare sem non, rutrum est. Curabitur efficitur ipsum id magna laoreet, dignissim iaculis elit sagittis.	4/18/2016
